address,type,date_notice,notice_number,district,neighborhood,pdf_path,text_path
(Descriptive Address),Exterior,2013-06-19,986023A,SOUTHWEST,ALLENDALE,data\pdf\ALLENDALE\986023A.pdf,data\text\ALLENDALE\986023A.txt
403 E 31ST,Interior,2020-03-12,1888169A,,ABELL,pdf\ABELL\1888169A.pdf,text\ABELL\1888169A.txt
3033 BARCLAY,Exterior,2025-03-19,2484872A,NORTHERN,ABELL,pdf\ABELL\2484872A.pdf,text\ABELL\2484872A.txt
3033 BARCLAY,Interior,2025-06-09,2522615A,,ABELL,pdf\ABELL\2522615A.pdf,text\ABELL\2522615A.txt
3016 VINEYARD,Exterior,2021-10-01,2045055A,NORTHERN,ABELL,pdf\ABELL\2045055A.pdf,text\ABELL\2045055A.txt
3242 BARCLAY,Exterior,2025-02-20,2478978A,NORTHERN,ABELL,pdf\ABELL\2478978A.pdf,text\ABELL\2478978A.txt
2958 GREENMOUNT,Vacant,2023-08-16,2287444A,NORTHERN,ABELL,pdf\ABELL\2287444A.pdf,text\ABELL\2287444A.txt
3126 GREENMOUNT,Exterior,2021-11-04,2056787A,NORTHERN,ABELL,pdf\ABELL\2056787A.pdf,text\ABELL\2056787A.txt
3120 GREENMOUNT,Interior/Exterior,2024-12-17,2466421A,NORTHERN,ABELL,pdf\ABELL\2466421A.pdf,text\ABELL\2466421A.txt
3246 ABELL,Interior,2025-03-04,2483517A,,ABELL,pdf\ABELL\2483517A.pdf,text\ABELL\2483517A.txt
305 E 31ST,Exterior,2025-05-27,2513985A,NORTHERN,ABELL,pdf\ABELL\2513985A.pdf,
3145 ABELL,Interior/Exterior,2025-07-25,2542491A,NORTHERN,ABELL,,
3119 BARCLAY,Vacant,2018-08-29,1714000A,NORTHERN,ABELL,,
431 MERRYMAN,Exterior,2024-10-09,2429861A,NORTHERN,ABELL,,
3121 BARCLAY,Vacant,2024-08-08,2415959A,NORTHERN,ABELL,,
3128 GREENMOUNT,Exterior,2022-02-16,2080262A,NORTHERN,ABELL,,
403 E 31ST,Exterior,2025-10-30,2581992A,NORTHERN,ABELL,,
401 E 30TH,Exterior,2024-11-26,2460787A,NORTHERN,ABELL,,
3014 VINEYARD,Exterior,2021-08-11,2028574A,NORTHERN,ABELL,,
2934 GREENMOUNT,Vacant,2024-01-07,2336349A,NORTHERN,ABELL,,
3208 GREENMOUNT,Interior,2019-04-26,1783903A,CENTRAL,ABELL,,
3028 GREENMOUNT,Exterior,2025-04-23,2499133A,NORTHERN,ABELL,,
3246 ABELL,Interior,2025-02-20,2480278A,,ABELL,,
3113 BARCLAY,Vacant,2025-01-17,2472414A,NORTHERN,ABELL,,
3122 GREENMOUNT,Exterior,2021-12-05,2064114A,NORTHERN,ABELL,,
2901 GUILFORD,Vacant,2022-12-30,2194700A,NORTHERN,ABELL,,
419 E 31ST,Interior,2024-07-12,2408115A,,ABELL,,
3004 VINEYARD,Exterior,2025-08-20,2555822A,NORTHERN,ABELL,,
2946 GREENMOUNT,Interior/Exterior,2025-03-26,2488126A,NORTHERN,ABELL,,
420 MERRYMAN,Vacant,2024-01-29,2342686A,NORTHERN,ABELL,,
3201 BARCLAY,Exterior,2021-04-23,1987938A,NORTHERN,ABELL,,
403 E 31ST,Exterior,2012-10-05,895239A,NORTHERN,ABELL,,
416 E 30TH,Exterior,2025-04-23,2499162A,NORTHERN,ABELL,,
3118 GREENMOUNT,Exterior,2025-04-02,2491606A,NORTHERN,ABELL,,
3026 GREENMOUNT,Vacant,2021-04-05,1983069A,NORTHERN,ABELL,,
2920 GREENMOUNT,Exterior,2025-03-21,2487743A,NORTHERN,ABELL,,
3033 BARCLAY,Exterior,2025-05-05,2502888A,NORTHERN,ABELL,,
3019 BARCLAY,Exterior,2025-05-09,2507178A,NORTHERN,ABELL,,
3122 GREENMOUNT,Exterior,2023-08-24,2292071A,NORTHERN,ABELL,,
3004 VINEYARD,Exterior,2023-08-15,2286563A,NORTHERN,ABELL,,
2900 GREENMOUNT,Exterior,2024-07-15,2409071A,NORTHERN,ABELL,,
3109 BARCLAY,Exterior,2024-07-21,2412564A,NORTHERN,ABELL,,
3012 VINEYARD,Exterior,2024-01-30,2343989A,NORTHERN,ABELL,,
3020 VINEYARD,Exterior,2024-03-18,2357306A,NORTHERN,ABELL,,
2938 GREENMOUNT,Exterior,2025-03-26,2488165A,NORTHERN,ABELL,,
403 E 31ST,Exterior,2019-03-17,1771698A,NORTHERN,ABELL,,
3010 GREENMOUNT,Exterior,2021-09-03,2035529A,NORTHERN,ABELL,,
3035 BARCLAY,Exterior,2025-08-15,2552206A,NORTHERN,ABELL,,
333 E 31ST,Exterior,2020-01-10,1871558A,NORTHERN,ABELL,,
3124 GREENMOUNT,Exterior,2025-04-02,2491624A,NORTHERN,ABELL,,
3222 GREENMOUNT,Exterior,2025-04-02,2491645A,NORTHERN,ABELL,,
303 E 33RD,Exterior,2025-05-22,2507561A,NORTHERN,ABELL,,
2936 GREENMOUNT,Vacant,2023-11-24,2324935A,NORTHERN,ABELL,,
